         398365 function calls (398313 primitive calls) in 1.398 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/email/feedparser.py:178(_call_parse)
      7/3    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_compiler.py:37(_compile)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_parser.py:970(parse)
        5    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/email/feedparser.py:218(_parsegen)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_compiler.py:514(_compile_info)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_parser.py:451(_parse_sub)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/weakref.py:585(__call__)
        1    0.000    0.000    0.000    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/urllib3/connectionpool.py:1170(_close_pool_connections)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_parser.py:511(_parse)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/urllib3/connection.py:320(close)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      991    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/http/client.py:1015(close)
        3    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
